citation,document_number,end_page,executive_order_notes,executive_order_number,html_url,pdf_url,publication_date,signing_date,start_page,title
61 FR 54079,96-26837,54080,"Amends: EO 12981, December 5, 1995;;
 ;  See: EO 12924, August 19, 1995",13020,https://www.federalregister.gov/documents/1996/10/17/96-26837/amendment-to-executive-order-12981,https://www.gpo.gov/fdsys/pkg/FR-1996-10-17/pdf/96-26837.pdf,10/17/96,10/12/96,54079,Amendment to Executive Order 12981
61 FR 54929,96-27352,54932,"Amended by: EO 13104, October 19, 1998; EO 13138, September 30,1999; EO 13225, September 28, 2001;;
 ;  Revoked by: EO 13270, July 3, 2002",13021,https://www.federalregister.gov/documents/1996/10/23/96-27352/tribal-colleges-and-universities,https://www.gpo.gov/fdsys/pkg/FR-1996-10-23/pdf/96-27352.pdf,10/23/96,10/19/96,54929,Tribal Colleges and Universities
61 FR 56875,96-28509,56876,"Supersedes in part: EO 199-A, January 20, 1903; EO 8682, February 14, 1941; EO 8729, April 2, 1941; EO 11048, September 4, 1962;;
 ;  See: EO 11593, May 13, 1971; EO 12996, March 25, 1996",13022,https://www.federalregister.gov/documents/1996/11/04/96-28509/administration-of-the-midway-islands,https://www.gpo.gov/fdsys/pkg/FR-1996-11-04/pdf/96-28509.pdf,11/4/96,10/31/96,56875,Administration of the Midway Islands
61 FR 57767,96-28938,57768,"Amends: EO 12992, March 15, 1996",13023,https://www.federalregister.gov/documents/1996/11/08/96-28938/amendments-to-executive-order-12992-expanding-and-changing-the-name-of-the-presidents-council-on,https://www.gpo.gov/fdsys/pkg/FR-1996-11-08/pdf/96-28938.pdf,11/8/96,11/6/96,57767,"Amendments to Executive Order 12992, Expanding and Changing the Name of the President's Council on Counter-Narcotics"
61 FR 58125,96-29109,58125,"Amends: EO 12015, October 26, 1977",13024,https://www.federalregister.gov/documents/1996/11/12/96-29109/amending-executive-order-12015-relating-to-competitive-appointments-of-students-who-have-completed,https://www.gpo.gov/fdsys/pkg/FR-1996-11-12/pdf/96-29109.pdf,11/12/96,11/7/96,58125,"Amending Executive Order 12015, Relating to Competitive Appointments of Students Who Have Completed Approved Career-Related Work Study Programs"
61 FR 58623,96-29597,58623,"Amends: EO 13010, July 15, 1996;;
 ;  Note: EO 13025 is nullified in part by virtue of the Advisory Committee of the President's Commission on Critical Infrastructure Protection being abolished by EO 13138, September 30, 1999.",13025,https://www.federalregister.gov/documents/1996/11/18/96-29597/amendment-to-executive-order-13010-the-presidents-commission-on-critical-infrastructure-protection,https://www.gpo.gov/fdsys/pkg/FR-1996-11-18/pdf/96-29597.pdf,11/18/96,11/13/96,58623,"Amendment to Executive Order 13010, the President's Commission on Critical Infrastructure Protection"
61 FR 58767,96-29692,58768,"Amends: EO 12981, December 5, 1995;;
 ;  See: EO 13206, April 4, 2001; EO 13222, August 17, 2001",13026,https://www.federalregister.gov/documents/1996/11/19/96-29692/administration-of-export-controls-on-encryption-products,https://www.gpo.gov/fdsys/pkg/FR-1996-11-19/pdf/96-29692.pdf,11/19/96,11/15/96,58767,Administration of Export Controls on Encryption Products
61 FR 58971,96-29815,58972,NA,13027,https://www.federalregister.gov/documents/1996/11/20/96-29815/establishing-an-emergency-board-to-investigate-a-dispute-between-the-southeastern-pennsylvania,https://www.gpo.gov/fdsys/pkg/FR-1996-11-20/pdf/96-29815.pdf,11/20/96,11/15/96,58971,Establishing an Emergency Board To Investigate a Dispute Between the Southeastern Pennsylvania Transportation Authority and Its Employees Represented by the Brotherhood of Locomotive Engineers
61 FR 64589,96-31164,64590,"Amends: EO 12757, March 19, 1991;;
 ;  See: EO 12823, December 3, 1996; EO 13131, July 22, 1999;;
 ;  Revoked by: EO 13345, July 8, 2004",13028,https://www.federalregister.gov/documents/1996/12/05/96-31164/further-amendments-to-executive-order-no-12757-implementation-of-the-enterprise-for-the-americas,https://www.gpo.gov/fdsys/pkg/FR-1996-12-05/pdf/96-31164.pdf,12/5/96,12/3/96,64589,Further Amendments to Executive Order No. 12757 Implementation of the Enterprise for the Americas Initiative
61 FR 64592,96-31165,64599,NA,13029,https://www.federalregister.gov/documents/1996/12/05/96-31165/implementing-for-the-united-states-the-provisions-of-an--nex-1-of-the-decision-concerning-legal,https://www.gpo.gov/fdsys/pkg/FR-1996-12-05/pdf/96-31165.pdf,12/5/96,12/3/96,64592,"Implementing, for the United States, the Provisions of An- nex 1 of the Decision Concerning Legal Capacity and Privileges and Immunities, Issued by the Council of Ministers of the Conference on Security and Cooperation in Europe on December 1, 1993"
61 FR 66187,96-32128,66187,"Amends: EO 11958, January 18, 1977; EO 12163, September 29, 1979; EO 12884, December 1, 1993",13030,https://www.federalregister.gov/documents/1996/12/17/96-32128/administration-of-foreign-assistance-and-related-functions-and-arms-export-controls,https://www.gpo.gov/fdsys/pkg/FR-1996-12-17/pdf/96-32128.pdf,12/17/96,12/12/96,66187,Administration of Foreign Assistance and Related Functions and Arms Export Controls
61 FR 66529,96-32195,66531,"Suspersedes: EO 12844, April 21, 1993;;
 ;  Revoked by: EO 13149, April 21, 2000;;
 ;  See: EO 13101, September 14, 1998",13031,https://www.federalregister.gov/documents/1996/12/17/96-32195/federal-alternative-fueled-vehicle-leadership,https://www.gpo.gov/fdsys/pkg/FR-1996-12-17/pdf/96-32195.pdf,12/17/96,12/13/96,66529,Federal Alternative Fueled Vehicle Leadership
61 FR 68985,96-33336,68985,"Amends: EO 12964, June 21, 1995;;
 ;  Revoked by: EO 13062, September 29, 1997",13032,https://www.federalregister.gov/documents/1996/12/30/96-33336/further-amendment-to-executive-order-no-12964,https://www.gpo.gov/fdsys/pkg/FR-1996-12-30/pdf/96-33336.pdf,12/30/96,12/26/96,68985,Further Amendment to Executive Order No. 12964
61 FR 68987,96-33384,68996,"Amends: EO 12961, May 26, 1995;;
 ;  Note: EO 13034 is nullified by virtue of the Committee being abolished by EO 13138, September 30, 1999.",13033,https://www.federalregister.gov/documents/1996/12/31/96-33384/executive-order-13033-of-december-27-1996,https://www.gpo.gov/fdsys/pkg/FR-1996-12-31/pdf/96-33384.pdf,12/31/96,12/27/96,68987,"Executive Order 13033 of December 27, 1996"
62 FR 5137,97-2818,5138,NA,13034,https://www.federalregister.gov/documents/1997/02/03/97-2818/extension-of-presidential-advisory-committee-on-gulf-war-veterans-illnesses,https://www.gpo.gov/fdsys/pkg/FR-1997-02-03/pdf/97-2818.pdf,2/3/97,1/30/97,5137,Extension of Presidential Advisory Committee on Gulf War Veterans' Illnesses
62 FR 7131,97-3992,7132,"Amended by: EO 13092, July 24, 1998; EO 13113, February 10, 1999; EO 13200, February 11, 2001; EO 13215, May 31, 2001; EO 13305, May 28, 2003;;
 ;  See: Public Law 105-305, October 28, 1998 (112 Stat. 2919)",13035,https://www.federalregister.gov/documents/1997/02/14/97-3992/advisory-committee-on-high-performance-computing-and-communications-information-technology-and-the,https://www.gpo.gov/fdsys/pkg/FR-1997-02-14/pdf/97-3992.pdf,2/14/97,2/11/97,7131,"Advisory Committee on High-Performance Computing and Communications, Information Technology, and the Next Generation Internet"
62 FR 7653,97-4302,7653,NA,13036,https://www.federalregister.gov/documents/1997/02/19/97-4302/establishing-an-emergency-board-to-investigate-a-dispute-between-american-airlines-and-its-employees,https://www.gpo.gov/fdsys/pkg/FR-1997-02-19/pdf/97-4302.pdf,2/19/97,2/15/97,7653,Establishing an Emergency Board To Investigate a Dispute Between American Airlines and its Employees Represented by the Allied Pilots Association
62 FR 10185,97-5728,10186,"Amended by: EO 13066, October 29, 1997; EO 13108, December 11, 1998;;
 ;  Revoked by: EO 13138, September 30, 1999",13037,https://www.federalregister.gov/documents/1997/03/06/97-5728/commission-to-study-capital-budgeting,https://www.gpo.gov/fdsys/pkg/FR-1997-03-06/pdf/97-5728.pdf,3/6/97,3/3/97,10185,Commission To Study Capital Budgeting
62 FR 12065,97-6571,12066,"Amended by: EO 13062, September 29, 1997; EO 13065, October 22, 1997; EO 13081, April 30, 1998; EO 13102, September 25, 1998;;
 ;  Revoked by: EO 13138, September 30, 1999",13038,https://www.federalregister.gov/documents/1997/03/13/97-6571/advisory-committee-on-public-interest-obligations-of-digital-television-broadcasters,https://www.gpo.gov/fdsys/pkg/FR-1997-03-13/pdf/97-6571.pdf,3/13/97,3/11/97,12065,Advisory Committee on Public Interest Obligations of Digital Television Broadcasters
62 FR 12529,97-6703,12529,"Amends: EO 12171, November 19, 1979",13039,https://www.federalregister.gov/documents/1997/03/14/97-6703/exclusion-of-the-naval-special-warfare-development-group-from-the-federal-labor-management-relations,https://www.gpo.gov/fdsys/pkg/FR-1997-03-14/pdf/97-6703.pdf,3/14/97,3/11/97,12529,Exclusion of the Naval Special Warfare Development Group From the Federal Labor-Management Relations Program
62 FR 14773,97-8123,14773,"Amends: EO 13017, September 5, 1996;;
 ;  Note: EO 13040 is nullified by virtue of the Commission being abolished by EO 13138, September 30, 1999.",13040,https://www.federalregister.gov/documents/1997/03/28/97-8123/amendment-to-executive-order-13017-advisory-commission-on-consumer-protection-and-quality-in-the,https://www.gpo.gov/fdsys/pkg/FR-1997-03-28/pdf/97-8123.pdf,3/28/97,3/25/97,14773,"Amendment to Executive Order 13017, Advisory Commission on Consumer Protection and Quality in the Health Care Industry"
62 FR 17039,97-9200,17039,"Amends: EO 13010, July 15, 1996;;
 ;  Note: EO 13041 is nullified in part by virtue of the Committee being abolished by EO 13138, September 30, 1999.",13041,https://www.federalregister.gov/documents/1997/04/08/97-9200/further-amendment-to-executive-order-13010-as-amended,https://www.gpo.gov/fdsys/pkg/FR-1997-04-08/pdf/97-9200.pdf,4/8/97,4/3/97,17039,"Further Amendment to Executive Order 13010, as Amended"
62 FR 18017,97-9700,18018,NA,13042,https://www.federalregister.gov/documents/1997/04/14/97-9700/implementing-for-the-united-states-article-viii-of-the-agreement-establishing-the-world-trade,https://www.gpo.gov/fdsys/pkg/FR-1997-04-14/pdf/97-9700.pdf,4/14/97,4/9/97,18017,Implementing for the United States Article VIII of the Agreement Establishing the World Trade Organization Concerning Legal Capacity and Privileges and Immunities
62 FR 19217,97-10331,19218,"Amended by: EO 13652, September 30, 2013;
 Revokes: EO 12566, September 26, 1986",13043,https://www.federalregister.gov/documents/1997/04/18/97-10331/increasing-seat-belt-use-in-the-united-states,https://www.gpo.gov/fdsys/pkg/FR-1997-04-18/pdf/97-10331.pdf,4/18/97,4/16/97,19217,Increasing Seat Belt Use in the United States
62 FR 19665,97-10605,19665,"Amends: EO 12752, February 25, 1991",13044,https://www.federalregister.gov/documents/1997/04/22/97-10605/amending-executive-order-12752-implementation-of-the-agricultural-trade-development-and-assistance,https://www.gpo.gov/fdsys/pkg/FR-1997-04-22/pdf/97-10605.pdf,4/22/97,4/18/97,19665,"Amending Executive Order 12752, Implementation of the Agricultural Trade Development and Assistance Act of 1954, as Amended, and the Food for Progress Act of 1985, as Amended"
62 FR 19885,97-10695,19888,"Amended by: EO 13229, October 9, 2001; EO 13296, April 18, 2003",13045,https://www.federalregister.gov/documents/1997/04/23/97-10695/protection-of-children-from-environmental-health-risks-and-safety-risks,https://www.gpo.gov/fdsys/pkg/FR-1997-04-23/pdf/97-10695.pdf,4/23/97,4/21/97,19885,Protection of Children From Environmental Health Risks and Safety Risks
62 FR 27685,97-13450,27685,"Amends: EO 12975, October 3, 1995;;
 ;  See: EO 13316, September 17, 2003",13046,https://www.federalregister.gov/documents/1997/05/20/97-13450/further-amendment-to-executive-order-12975-of-may-16-1997-extension-of-the-national-bioethics,https://www.gpo.gov/fdsys/pkg/FR-1997-05-20/pdf/97-13450.pdf,5/20/97,5/16/97,27685,"Further Amendment to Executive Order 12975 of May 16, 1997, Extension of the National Bioethics Advisory Commission"
62 FR 28301,97-13704,28302,"Amended by: EO 13310, July 28, 2003
See: EO 13448, October 18, 2007; EO 13464, April 30, 2008; Notice of May 18, 1998; Notice of May 16, 2003; Notice of May 17, 2004; Notice of May 17, 2005; Notice of May 18, 2006; Notice of May 17, 2007; Notice of May 16, 2008; Notice of May 14, 2009; Notice of May 13, 2010;  EO 13619, July 21, 2012
Revoked by: EO 13742, October 7, 2016",13047,https://www.federalregister.gov/documents/1997/05/22/97-13704/prohibiting-new-investment-in-burma,https://www.gpo.gov/fdsys/pkg/FR-1997-05-22/pdf/97-13704.pdf,5/22/97,5/20/97,28301,Prohibiting New Investment in Burma
62 FR 32467,97-15828,32469,"Amended by: EO 13284, January 23, 2003;;
 ;  Revokes: EO 12552, February 25, 1986; EO 12637, April 27, 1988; EO 12816, October 14, 1992",13048,https://www.federalregister.gov/documents/1997/06/13/97-15828/improving-administrative-management-in-the-executive-branch,https://www.gpo.gov/fdsys/pkg/FR-1997-06-13/pdf/97-15828.pdf,6/13/97,6/10/97,32467,Improving Administrative Management in the Executive Branch
62 FR 32471,97-15879,32471,NA,13049,https://www.federalregister.gov/documents/1997/06/16/97-15879/organization-for-the-prohibition-of-chemical-weapons,https://www.gpo.gov/fdsys/pkg/FR-1997-06-16/pdf/97-15879.pdf,6/16/97,6/11/97,32471,Organization for the Prohibition of Chemical Weapons
62 FR 32987,97-16080,32988,NA,13050,https://www.federalregister.gov/documents/1997/06/17/97-16080/presidents-advisory-board-on-race,https://www.gpo.gov/fdsys/pkg/FR-1997-06-17/pdf/97-16080.pdf,6/17/97,6/13/97,32987,President's Advisory Board on Race
62 FR 34609,97-16957,34610,NA,13051,https://www.federalregister.gov/documents/1997/06/26/97-16957/internal-revenue-service-management-board,https://www.gpo.gov/fdsys/pkg/FR-1997-06-26/pdf/97-16957.pdf,6/26/97,6/24/97,34609,Internal Revenue Service Management Board
62 FR 35659,97-17512,35659,NA,13052,https://www.federalregister.gov/documents/1997/07/02/97-17512/hong-kong-economic-and-trade-offices,https://www.gpo.gov/fdsys/pkg/FR-1997-07-02/pdf/97-17512.pdf,7/2/97,6/30/97,35659,Hong Kong Economic and Trade Offices
62 FR 35945,97-17566,35945,"Amends: EO 12852, June 29, 1993;;
 ;  Note: EO 13053 is nullified by virtue of the Council being abolished by EO 13138, September 30, 1999.",13053,https://www.federalregister.gov/documents/1997/07/02/97-17566/adding-members-to-and-extending-the-presidents-council-on-sustainable-development,https://www.gpo.gov/fdsys/pkg/FR-1997-07-02/pdf/97-17566.pdf,7/2/97,6/30/97,35945,Adding Members to and Extending the President's Council on Sustainable Development
62 FR 36965,97-18288,36965,"Amended by: EO 13062, September 29, 1997",13054,https://www.federalregister.gov/documents/1997/07/10/97-18288/eligibility-of-certain-overseas-employees-for-noncompetitive-appointments,https://www.gpo.gov/fdsys/pkg/FR-1997-07-10/pdf/97-18288.pdf,7/10/97,7/7/97,36965,Eligibility of Certain Overseas Employees for Noncompetitive Appointments
62 FR 39099,97-19341,39100,NA,13055,https://www.federalregister.gov/documents/1997/07/21/97-19341/coordination-of-united-states-government-international-exchanges-and-training-programs,https://www.gpo.gov/fdsys/pkg/FR-1997-07-21/pdf/97-19341.pdf,7/21/97,7/15/97,39099,Coordination of United States Government International Exchanges and Training Programs
62 FR 39415,97-19562,39415,"Amends: EO 13017, September 5, 1996;;
 ;  Note: EO 13056 is nullified by virtue of the Commission being abolished by EO 13138, September 30, 1999.",13056,https://www.federalregister.gov/documents/1997/07/23/97-19562/further-amendment-to-executive-order-13017-advisory-commission-on-consumer-protection-and-quality-in,https://www.gpo.gov/fdsys/pkg/FR-1997-07-23/pdf/97-19562.pdf,7/23/97,7/21/97,39415,"Further Amendment to Executive Order 13017, Advisory Commission on Consumer Protection and Quality in the Health Care Industry"
62 FR 41249,97-20497,41250,NA,13057,https://www.federalregister.gov/documents/1997/08/01/97-20497/federal-actions-in-the-lake-tahoe-region,https://www.gpo.gov/fdsys/pkg/FR-1997-08-01/pdf/97-20497.pdf,8/1/97,7/26/97,41249,Federal Actions in the Lake Tahoe Region
62 FR 43451,97-21607,43452,NA,13058,https://www.federalregister.gov/documents/1997/08/13/97-21607/protecting-federal-employees-and-the-public-from-exposure-to-tobacco-smoke-in-the-federal-workplace,https://www.gpo.gov/fdsys/pkg/FR-1997-08-13/pdf/97-21607.pdf,8/13/97,8/9/97,43451,Protecting Federal Employees and the Public From Exposure to Tobacco Smoke in the Federal Workplace
62 FR 44531,97-22482,44533,"Revokes in part: EO 12613, October 29, 1987; EO 12957, March 15, 1995; EO 12959, May 6, 1995;;
 ;  See: Notice of March 4, 1998; Notice of March 10, 1999; Notice of March 13, 2000; Notice of March 13, 2001; Notice of March 12, 2003; Notice of March 10, 2004; Notice of March 10, 2005; Notice of March 13, 2006; Notice of March 8, 2007; Notice of March 11, 2008; Notice of March 11, 2009; Notice of March 10, 2010; EO 13628, October 9, 2012",13059,https://www.federalregister.gov/documents/1997/08/21/97-22482/prohibiting-certain-transactions-with-respect-to-iran,https://www.gpo.gov/fdsys/pkg/FR-1997-08-21/pdf/97-22482.pdf,8/21/97,8/19/97,44531,Prohibiting Certain Transactions With Respect to Iran
62 FR 45139,97-22703,45139,NA,13060,https://www.federalregister.gov/documents/1997/08/25/97-22703/establishing-an-emergency-board-to-investigate-disputes-between-amtrak-and-its-employees-represented,https://www.gpo.gov/fdsys/pkg/FR-1997-08-25/pdf/97-22703.pdf,8/25/97,8/21/97,45139,Establishing an Emergency Board To Investigate Disputes Between Amtrak and its Employees Represented by the Brotherhood of Maintenance of Way Employes
62 FR 48445,97-24591,48448,"Amended by: EO 13093, July 27, 1998",13061,https://www.federalregister.gov/documents/1997/09/15/97-24591/federal-support-of-community-efforts-along-american-heritage-rivers,https://www.gpo.gov/fdsys/pkg/FR-1997-09-15/pdf/97-24591.pdf,9/15/97,9/11/97,48445,Federal Support of Community Efforts Along American Heritage Rivers
62 FR 51755,97-26364,51756,"Amends: EO 13038, March 11, 1997 (in part); EO 13054, July 7, 1997 (in part) ;;
 ;  Revokes: EO 12864, September 15, 1993; EO 12891, January 15, 1994; EO 12946, January 20, 1995; EO 12964, June 21, 1995; EO 13015, August 22, 1996;;
 ;  Supersedes: EO 12974, September 29, 1995;;
 ;  Amended by: EO 13065, October 22, 1997;;
 ;  Superseded by: EO 13138, September 30, 1999EO 13038, March 11, 1997 (in part); EO 13054, July 7, 1997 (in part);;
 ;  See:EO 13065, October 22, 1997;;
 ;  Note: EO 13062 is nullified in part by virtue of the Advisory Committee on Public Interest Obligations of Digital Television Broadcasters being abolished by EO 13138, September 30, 1999.",13062,https://www.federalregister.gov/documents/1997/10/02/97-26364/continuance-of-certain-federal-advisory-committees-and-amendments-to-executive-orders-13038-and,https://www.gpo.gov/fdsys/pkg/FR-1997-10-02/pdf/97-26364.pdf,10/2/97,9/29/97,51755,Continuance of Certain Federal Advisory Committees and Amendments to Executive Orders 13038 and 13054
62 FR 51757,97-26365,51757,"Amends: EO 12154, September 4, 1979",13063,https://www.federalregister.gov/documents/1997/10/02/97-26365/level-v-of-the-executive-schedule-removal-of-the-executive-director-pension-benefit-guaranty,https://www.gpo.gov/fdsys/pkg/FR-1997-10-02/pdf/97-26365.pdf,10/2/97,9/30/97,51757,"Level V of the Executive Schedule: Removal of the Executive Director, Pension Benefit Guaranty Corporation, Department of Labor"
62 FR 53711,97-27644,53711,"Amends: EO 13010, July 15, 1996;;
 ;  Note: EO 13064 is nullified in part by virtue of the Committee being abolished by EO 13138, September 30, 1999.",13064,https://www.federalregister.gov/documents/1997/10/16/97-27644/further-amendment-to-executive-order-13010-as-amended-critical-infrastructure-protection,https://www.gpo.gov/fdsys/pkg/FR-1997-10-16/pdf/97-27644.pdf,10/16/97,10/11/97,53711,"Further Amendment to Executive Order 13010, as Amended, Critical Infrastructure Protection"
62 FR 55329,97-28427,55329,"Amends: EO 13038, March 11, 1997;;
 ;  See:EO 13062, September 29, 1997;;
 ;  Note: EO 13065 is nullified by virtue of the Committee being abolished by EO 13138, September 30, 1999.",13065,https://www.federalregister.gov/documents/1997/10/24/97-28427/further-amendment-to-executive-order-13038-advisory-committee-on-public-interest-obligations-of,https://www.gpo.gov/fdsys/pkg/FR-1997-10-24/pdf/97-28427.pdf,10/24/97,10/22/97,55329,Further Amendment to Executive Order 13038 Advisory Committee on Public Interest Obligations of Digital Television Broadcasters
62 FR 59273,97-29126,59273,"Amends: EO 13037, March 3, 1997;;
 ;  Note: EO 13066 is nullified by virtue of the Commission being abolished by EO 13138, September 30, 1999.",13066,https://www.federalregister.gov/documents/1997/10/31/97-29126/amendment-to-executive-order-13037-commission-to-study-capital-budgeting,https://www.gpo.gov/fdsys/pkg/FR-1997-10-31/pdf/97-29126.pdf,10/31/97,10/29/97,59273,"Amendment to Executive Order 13037, Commission To Study Capital Budgeting"
62 FR 59989,97-29464,59990,"See: Notice of October 27, 1998; Notice of October 29, 1999; Notice of October 31, 2000; Notice of October 31, 2001; Notice of October 29, 2002; Notice of October 29, 2003; Notice of November 1, 2004; Notice of November 1, 2005; EO 13400, April 26, 2006; Notice of November 1, 2006; Notice of November 1, 2007; Notice of October 30, 3008; Notice of October 27, 2009
Revoked in part by: EO 13761, January 13, 2017",13067,https://www.federalregister.gov/documents/1997/11/05/97-29464/blocking-sudanese-government-property-and-prohibiting-transactions-with-sudan,https://www.gpo.gov/fdsys/pkg/FR-1997-11-05/pdf/97-29464.pdf,11/5/97,11/3/97,59989,Blocking Sudanese Government Property and Prohibiting Transactions With Sudan
62 FR 63247,97-31456,63247,NA,13068,https://www.federalregister.gov/documents/1997/11/28/97-31456/closing-of-government-departments-and-agencies-on-friday-december-26-1997,https://www.gpo.gov/fdsys/pkg/FR-1997-11-28/pdf/97-31456.pdf,11/28/97,11/25/97,63247,"Closing of Government Departments and Agencies on Friday, December 26, 1997"
62 FR 65989,97-33034,65990,NA,13069,https://www.federalregister.gov/documents/1997/12/16/97-33034/prohibiting-certain-transactions-with-respect-to-unita,https://www.gpo.gov/fdsys/pkg/FR-1997-12-16/pdf/97-33034.pdf,12/16/97,12/12/97,65989,Prohibiting Certain Transactions With Respect to UNITA
62 FR 66493,97-33299,66493,"Amends: EO 12863, September 13, 1993;;
 ;  Amended by: EO 13301, May 14, 2003;;
 ;  See: EO 13376, April 13, 2005",13070,https://www.federalregister.gov/documents/1997/12/18/97-33299/the-intelligence-oversight-board-amendment-to-executive-order-12863,https://www.gpo.gov/fdsys/pkg/FR-1997-12-18/pdf/97-33299.pdf,12/18/97,12/15/97,66493,"The Intelligence Oversight Board, Amendment to Executive Order 12863"
62 FR 68521,97-34224,68530,"Supersedes: EO 13033, December 27, 1996;;
 ;  Superseded by: EO 13106, December 7, 1998",13071,https://www.federalregister.gov/documents/1997/12/31/97-34224/adjustments-of-certain-rates-of-pay,https://www.gpo.gov/fdsys/pkg/FR-1997-12-31/pdf/97-34224.pdf,12/31/97,12/29/97,68521,Adjustments of Certain Rates of Pay
63 FR 6041,98-3135,6043,NA,13072,https://www.federalregister.gov/documents/1998/02/05/98-3135/white-house-millennium-council,https://www.gpo.gov/fdsys/pkg/FR-1998-02-05/pdf/98-3135.pdf,2/5/98,2/2/98,6041,White House Millennium Council
63 FR 6467,98-3229,6468,"Amended by: EO 13127, June 14, 1999",13073,https://www.federalregister.gov/documents/1998/02/06/98-3229/year-2000-conversion,https://www.gpo.gov/fdsys/pkg/FR-1998-02-06/pdf/98-3229.pdf,2/6/98,2/4/98,6467,Year 2000 Conversion
63 FR 7277,98-3847,7277,"Amends: EO 12656, November 18, 1988;;
 ;  Note: This Executive order is concerned with force deployment with respect to evacuation of U.S. citizens in threatened areas overseas.",13074,https://www.federalregister.gov/documents/1998/02/12/98-3847/amendment-to-executive-order-12656,https://www.gpo.gov/fdsys/pkg/FR-1998-02-12/pdf/98-3847.pdf,2/12/98,2/9/98,7277,Amendment to Executive Order 12656
63 FR 9085,98-4816,9086,"Revoked by: EO 13225, September 28, 2001",13075,https://www.federalregister.gov/documents/1998/02/24/98-4816/special-oversight-board-for-department-of-defense-investigations-of-gulf-war-chemical-and-biological,https://www.gpo.gov/fdsys/pkg/FR-1998-02-24/pdf/98-4816.pdf,2/24/98,2/19/98,9085,Special Oversight Board for Department of Defense Investigations of Gulf War Chemical and Biological Incidents
63 FR 9719,98-5119,9719,"Amended by: EO 13286, February 28, 2003;;
 ;  See: Proc. 6867, March 1, 1996",13076,https://www.federalregister.gov/documents/1998/02/26/98-5119/ordering-the-selected-reserve-of-the-armed-forces-to-active-duty,https://www.gpo.gov/fdsys/pkg/FR-1998-02-26/pdf/98-5119.pdf,2/26/98,2/24/98,9719,Ordering the Selected Reserve of the Armed Forces to Active Duty
63 FR 12381,98-6628,12381,"Amends: EO 13010, July 15, 1996;;
 ;  Note: EO 13077 is nullified by virtue of the Committee being abolished by EO 13138, September 30, 1999.",13077,https://www.federalregister.gov/documents/1998/03/12/98-6628/further-amendment-to-executive-order-13010-critical-infrastructure-protection,https://www.gpo.gov/fdsys/pkg/FR-1998-03-12/pdf/98-6628.pdf,3/12/98,3/10/98,12381,"Further Amendment to Executive Order 13010, Critical Infrastructure Protection"
63 FR 13111,98-7139,13113,"Amended by: EO 13172, October 25, 2000; EO 13187, January 10, 2001; EO 13583, August 18, 2011",13078,https://www.federalregister.gov/documents/1998/03/18/98-7139/increasing-employment-of-adults-with-disabilities,https://www.gpo.gov/fdsys/pkg/FR-1998-03-18/pdf/98-7139.pdf,3/18/98,3/13/98,13111,Increasing Employment of Adults With Disabilities
63 FR 17309,98-9599,17309,NA,13079,https://www.federalregister.gov/documents/1998/04/09/98-9599/waiver-under-the-trade-act-of-1974-with-respect-to-vietnam,https://www.gpo.gov/fdsys/pkg/FR-1998-04-09/pdf/98-9599.pdf,4/9/98,4/7/98,17309,Waiver Under The Trade Act Of 1974 With Respect to Vietnam
63 FR 17667,98-9709,17668,"Amended by: EO 13093, July 27, 1998;;
 ;  Revoked by: EO 13225, September 28, 2001",13080,https://www.federalregister.gov/documents/1998/04/10/98-9709/american-heritage-rivers-initiative-advisory-committee,https://www.gpo.gov/fdsys/pkg/FR-1998-04-10/pdf/98-9709.pdf,4/10/98,4/7/98,17667,American Heritage Rivers Initiative Advisory Committee
63 FR 24385,98-11922,24385,"Amends: EO 13038, March 11, 1997;;
 ;  Note: EO 13081 is nullified by virtue of the Committee being abolished by EO 13138, September 30, 1999.",13081,https://www.federalregister.gov/documents/1998/05/04/98-11922/amendment-to-executive-order-no-13038-advisory-committee-on-public-interest-obligations-of-digital,https://www.gpo.gov/fdsys/pkg/FR-1998-05-04/pdf/98-11922.pdf,5/4/98,4/30/98,24385,"Amendment to Executive Order No. 13038, Advisory Committee on Public Interest Obligations of Digital Television Broadcasters"
63 FR 26709,98-12963,26709,"Amends: EO 9080, February 27, 1942;;
 ;  See: EO 10692, December 22, 1956; EO 12377, August 6, 1982",13082,https://www.federalregister.gov/documents/1998/05/13/98-12963/joint-mexican-united-states-defense-commission,https://www.gpo.gov/fdsys/pkg/FR-1998-05-13/pdf/98-12963.pdf,5/13/98,5/8/98,26709,Joint Mexican-United States Defense Commission
63 FR 27651,98-13552,27654,"Supplements: EO 12866, September 30, 1993; EO 12988, February 5, 1996;;
 ;  Revokes: EO 12612, October 26, 1987; EO 12875, October 26, 1993;;
 ;  Suspended by: EO 13095, August 5, 1998;;
 ;  See: EO 13084, May 14, 1998; Public Law 105-277 (sec. 425);;
 ;  Revoked by: EO 13132, August 4, 1999",13083,https://www.federalregister.gov/documents/1998/05/19/98-13552/federalism,https://www.gpo.gov/fdsys/pkg/FR-1998-05-19/pdf/98-13552.pdf,5/19/98,5/14/98,27651,Federalism
